,index,City,year,Region,slope,intercept,R2,R2_adj,mean,trending
216,216,Charlottenlund,2018,Hovedstaden,0.2960962178775718,1.7279694570135784,0.7245531694854137,0.719044232875122,9.574519230769228,1
217,217,Charlottenlund,2019,Hovedstaden,0.024439725091778525,12.913404977375567,0.014155167639378519,-0.0055617290078340265,13.561057692307692,0
218,218,Charlottenlund,2020,Hovedstaden,0.269907605035241,13.22939291101056,0.4985214964117807,0.48849192634001626,20.38194444444444,1
219,219,Charlottenlund,2021,Hovedstaden,0.22900510204081592,20.02871527777778,0.38399914897526355,0.3706078261268997,25.639340277777777,0
220,220,Christiansfeld,2017,Syddanmark,0.0,0.0,,,0.0,0
221,221,Christiansfeld,2018,Syddanmark,0.0,0.0,,,0.0,0
222,222,Christiansfeld,2019,Syddanmark,0.0,0.0,,,0.0,0
223,223,Christiansfeld,2020,Syddanmark,0.0,0.0,,,0.0,0
224,224,Christiansfeld,2021,Syddanmark,0.0,0.0,,,0.0,0
225,225,Dianalund,2017,Sjælland,0.0,0.0,,,0.0,0
226,226,Dianalund,2018,Sjælland,0.0,0.0,,,0.0,0
227,227,Dianalund,2019,Sjælland,0.0,0.0,,,0.0,0
228,228,Dianalund,2020,Sjælland,0.0,0.0,,,0.0,0
229,229,Dianalund,2021,Sjælland,0.0,0.0,,,0.0,0
230,230,Dragør,2017,Hovedstaden,-0.040002561256723385,10.415356334841633,0.07599470623715077,0.05751460036189382,9.35528846153846,0
231,231,Dragør,2018,Hovedstaden,0.22392960812772117,5.738942307692312,0.587798010220977,0.5795539704253965,11.673076923076922,1
232,232,Dragør,2019,Hovedstaden,0.08139727226158985,15.91244343891403,0.15139397956455936,0.13442185915585048,18.069471153846155,0
233,233,Dragør,2020,Hovedstaden,0.23871327679596302,15.584194318753152,0.5974880807391039,0.589437842353886,21.91009615384615,1
234,234,Dragør,2021,Hovedstaden,0.24883639093935406,24.046008421985807,0.47946019232815706,0.46814410955268215,30.142500000000002,1
235,235,Dronninglund,2017,Nordjylland,0.0,0.0,,,0.0,0
236,236,Dronninglund,2018,Nordjylland,0.0,0.0,,,0.0,0
237,237,Dronninglund,2019,Nordjylland,0.0,0.0,,,0.0,0
238,238,Dronninglund,2020,Nordjylland,0.0,0.0,,,0.0,0
239,239,Dronninglund,2021,Nordjylland,0.0,0.0,,,0.0,0
240,240,Dyssegård,2017,Hovedstaden,,,,,,0
241,241,Dyssegård,2018,Hovedstaden,,,,,,0
242,242,Dyssegård,2019,Hovedstaden,,,,,,0
243,243,Dyssegård,2020,Hovedstaden,,,,,,0
